"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Miguel Cabrera","656","558","182","37","1","37","105","115","88","94","5","3","2",".325",".418",".594","1.012",".427","-2.0","-3.6","6.2","1744"
"David Wright","612","530","154","32","4","19","78","77","71","105","5","14","7",".290",".376",".476",".852",".369","0.2","4.0","5.6","3787"
"Adrian Beltre","633","580","172","35","1","28","85","101","42","78","6","1","1",".296",".347",".504",".851",".365","-1.1","1.0","4.5","639"
"Evan Longoria","640","557","147","33","2","30","86","96","73","135","5","2","1",".264",".352",".492",".844",".362","0.1","6.4","6.0","9368"
"Matt Carpenter","560","486","141","36","4","10","75","53","60","81","6","5","3",".291",".373",".442",".815",".359","0.8","-1.5","4.1","8090"
"Pablo Sandoval","632","567","164","38","3","21","79","86","54","85","4","2","1",".289",".352",".478",".831",".358","-1.4","-1.7","4.6","5409"
"Hanley Ramirez","565","504","140","29","2","20","71","75","52","98","5","14","7",".279",".349",".463",".812",".352","0.5","-2.5","4.3","8001"
"Ryan Zimmerman","541","480","131","26","2","20","68","69","53","106","3","4","2",".274",".347",".463",".810",".352","0.5","-4.2","3.1","4220"
"Josh Donaldson","620","548","149","31","2","22","78","80","59","106","6","5","3",".271",".346",".455",".801",".350","0.3","5.1","4.9","5038"
"Aramis Ramirez","528","472","129","28","1","20","63","71","43","76","8","3","2",".273",".342",".461",".803",".350","-3.9","-1.1","2.7","1002"
"Brett Lawrie","553","497","136","28","4","17","70","68","42","82","7","13","7",".274",".336",".451",".787",".344","0.4","1.4","3.4","5247"
"Martin Prado","653","592","171","39","4","13","80","70","50","59","3","7","5",".289",".345",".434",".778",".341","-0.1","1.9","3.5","3312"
"David Freese","504","445","121","25","1","13","59","59","47","109","6","3","2",".272",".347",".423",".769",".339","-1.4","-5.5","2.4","9549"
"Pedro Alvarez","576","513","125","25","2","29","69","82","54","166","3","2","1",".243",".317",".468",".785",".339","-0.3","-1.2","3.2","2495"
"Eric Chavez","116","104","28","6","1","4","13","15","10","21","1","1","0",".269",".333",".446",".779",".337","-0.4","-0.1","0.1","906"
"Will Middlebrooks","491","452","118","24","1","22","60","69","29","111","3","5","3",".261",".308",".463",".772",".334","-0.1","-1.1","2.2","7002"
"Nolan Arenado","608","564","156","37","3","17","67","75","34","72","3","3","2",".277",".319",".446",".764",".331","-0.3","8.6","2.8","9777"
"Mark Reynolds","20","17","4","1","0","1","2","2","2","6","0","0","0",".222",".322",".431",".753",".331","0.0","-0.1","0.0","7619"
"Kyle Seager","638","569","149","32","2","18","75","76","57","106","6","8","5",".262",".332",".419",".751",".331","-0.3","-0.6","3.1","9785"
"Chipper Jones","1","1","0","0","0","0","0","0","0","0","0","0","0",".262",".344",".411",".755",".330","0.0","0.0","0.0","97"
"Chris Johnson","534","491","137","31","1","13","56","62","32","120","5","2","1",".279",".326",".430",".756",".329","-1.0","-3.3","2.1","1191"
"Chase Headley","643","557","141","31","2","16","72","69","73","146","6","10","5",".254",".344",".400",".744",".328","-0.9","3.0","3.5","4720"
"Kevin Youkilis","1","1","0","0","0","0","0","0","0","0","0","0","0",".239",".332",".410",".742",".327","0.0","0.0","0.0","1935"
"Todd Frazier","491","438","107","24","2","17","53","59","40","105","7","6","3",".245",".316",".431",".747",".326","0.7","4.3","2.6","785"
"Ryan Wheeler","52","48","13","3","0","1","6","6","3","9","0","1","0",".277",".321",".424",".745",".325","0.0","-0.1","0.0","9312"
"Xander Bogaerts","558","500","130","27","3","14","65","64","45","109","4","8","5",".261",".325",".413",".738",".325","-0.1","0.7","2.7","12161"
"Manny Machado","471","434","116","28","2","12","58","52","28","71","2","7","4",".268",".313",".426",".740",".323","0.0","9.9","2.9","11493"
"Mike Moustakas","470","429","110","26","1","15","53","58","32","76","4","4","2",".257",".313",".427",".739",".323","-0.8","3.9","2.2","4892"
"Taylor Green","20","18","4","1","0","1","2","2","2","3","0","0","0",".254",".320",".416",".736",".322","0.0","0.0","0.1","9147"
"Lonnie Chisenhall","419","382","98","22","1","14","48","52","27","74","4","3","2",".257",".310",".429",".739",".322","0.0","-2.0","1.7","7571"
"Scott Moore","41","37","9","2","0","1","5","5","3","9","1","0","0",".255",".323",".407",".730",".321","0.0","-0.1","0.2","4390"
"Alex Rodriguez","1","1","0","0","0","0","0","0","0","0","0","0","0",".243",".325",".397",".722",".320","0.0","0.0","0.0","1274"
"Juan Francisco","450","408","97","20","1","20","49","58","32","140","4","3","2",".237",".296",".439",".735",".318","-0.4","-2.6","0.2","6978"
"Donnie Murphy","418","378","91","20","2","16","45","50","27","100","7","5","3",".241",".301",".428",".729",".318","-0.3","-2.5","1.1","4704"
"Josh Satin","93","81","21","5","0","2","10","9","10","21","1","1","0",".253",".337",".376",".713",".318","-0.2","0.1","0.1","6788"
"Matt Dominguez","559","512","131","28","1","18","62","68","35","77","5","2","1",".255",".306",".421",".728",".318","-1.1","0.1","2.1","4903"
"Marcus Semien","200","177","44","10","1","5","23","22","18","35","1","5","3",".248",".320",".401",".721",".318","-0.1","0.1","0.7","12533"
"Cody Asche","419","385","101","21","2","11","42","46","27","81","3","6","3",".263",".313",".415",".728",".317","0.0","-1.3","1.3","11997"
"Trevor Plouffe","508","459","111","23","2","18","56","60","38","104","5","3","2",".243",".306",".417",".722",".317","-0.9","-4.1","1.4","7462"
"Mauro Gomez","1","1","0","0","0","0","0","0","0","0","0","0","0",".247",".302",".427",".729",".317","0.0","0.0","0.0","5342"
"Josh Vitters","20","19","5","1","0","1","2","2","1","3","0","0","0",".255",".306",".419",".725",".316","0.0","0.0","0.1","4623"
"Zach Lutz","44","39","10","2","0","1","5","5","4","11","0","0","0",".245",".320",".392",".712",".315","0.0","0.0","0.0","3735"
"Conor Gillaspie","227","204","52","10","1","6","24","25","19","36","1","1","1",".256",".319",".399",".718",".315","0.0","-0.5","0.7","9009"
"Luis Valbuena","154","134","32","8","0","4","16","15","17","27","1","1","1",".240",".326",".383",".710",".315","-0.1","0.8","0.0","4969"
"Matt Davidson","265","237","56","13","1","9","30","31","22","68","3","2","1",".237",".307",".408",".715",".313","0.0","-0.2","0.8","7226"
"Michael Young","1","1","0","0","0","0","0","0","0","0","0","0","0",".276",".326",".386",".712",".313","0.0","0.0","0.0","1286"
"Wilson Betemit","66","59","15","3","0","2","7","7","6","18","0","0","0",".247",".315",".399",".713",".313","-0.1","0.0","0.0","1861"
"Brandon Laird","1","1","0","0","0","0","0","0","0","0","0","0","0",".251",".294",".420",".714",".311","0.0","0.0","0.0","5476"
"Jordan Pacheco","170","157","43","10","1","2","18","17","9","21","2","2","1",".274",".320",".386",".706",".311","-0.1","-0.3","-0.4","2677"
"Alberto Callaspo","402","356","91","18","0","7","42","39","39","41","2","2","1",".256",".330",".366",".696",".310","-0.9","-1.8","1.1","3336"
"Luis Jimenez","32","30","8","2","0","1","4","4","1","5","0","1","0",".263",".298",".410",".709",".309","0.0","0.2","0.1","6341"
"Josh Bell","1","1","0","0","0","0","0","0","0","0","0","0","0",".243",".307",".397",".704",".308","0.0","0.0","0.0","2510"
"Brock Holt","112","101","28","5","1","1","12","10","8","16","1","3","2",".275",".331",".359",".690",".307","-0.1","-0.5","0.3","9345"
"Scott Rolen","1","1","0","0","0","0","0","0","0","0","0","0","0",".247",".309",".388",".697",".307","0.0","0.0","0.0","970"
"David Adams","46","41","10","2","0","1","5","5","4","9","1","0","0",".251",".317",".373",".690",".307","0.0","0.1","0.2","7389"
"Danny Valencia","132","123","31","7","1","3","14","15","7","24","0","1","1",".255",".297",".404",".701",".306","-0.2","-0.5","0.3","6364"
"Kevin Frandsen","280","259","70","15","1","3","27","26","12","28","6","3","1",".271",".315",".377",".692",".305","-0.5","-0.1","0.6","7528"
"Jeff Keppinger","206","191","52","9","1","3","21","20","12","18","1","1","0",".271",".315",".374",".688",".304","-0.6","-0.4","0.4","3856"
"Justin Turner","108","98","25","6","0","1","11","10","7","16","1","1","1",".261",".318",".368",".686",".304","-0.1","-0.3","0.3","5235"
"Brooks Conrad","1","1","0","0","0","0","0","0","0","0","0","0","0",".226",".297",".394",".691",".303","0.0","0.0","0.0","3664"
"Mike Olt","278","244","53","11","1","9","29","29","29","77","2","2","1",".217",".302",".379",".681",".301","0.0","0.0","0.5","10698"
